codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago;registro_incorrecto;tipo_error
;13/01/25;13/01/25;14/01/25;reservada;22381571-5;Juan Perez;NO;Cabaña 15;Santa Cruz;120000;0;;12/1/25;NO;
;17/11/25;17/11/25;19/11/25;cancelada;24090729-1;Pedro Rojas;SI;Cabaña 4;Providencia;240000;0;;17/11/25;NO;
;01/08/25;01/08/25;10/08/25;ejecutada;21934163-6;Maria Gonzalez;NO;Cabaña 4;Santa Cruz;1080000;1080000;transferencia;1/8/25;NO;
;15/09/25;15/09/25;17/09/25;reservada;21454860-7;Ana Silva;SI;Cabaña 10;Santiago Centro;240000;0;;15/9/25;NO;
;02/06/25;02/06/25;08/06/25;ejecutada;7206185-3;Luis Contreras;NO;Cabaña 18;Santiago Centro;720000;720000;efectivo;2/6/25;NO;
;05/06/25;05/06/25;09/06/25;cancelada;18616868-2;Luis Contreras;NO;Cabaña 15;Santa Cruz;480000;0;;2/6/25;NO;
;14/06/25;14/06/25;20/06/25;cancelada;11627877-8;Pedro Rojas;NO;Cabaña 4;La Florida;720000;0;;13/6/25;SI;rut
;7/12/25;7/12/25 20:00;7/12/25 21:00;ejecutada;19197001-2;Ana Silva;NO;Cancha Tenis Aire Libre X;Santiago Centro;25000;25000;efectivo;7/12/25;SI;referencia
;01/04/25;01/04/25;02/04/25;ejecutada;10698937-0;Pedro Rojas;NO;Cabaña 14;La Florida;120000;120000;transferencia;28/3/25;NO;
;3/4/25;3/4/25 10:00;3/4/25 11:00;cancelada;15035367-K;Maria Gonzalez;NO;Cancha Tenis Techada;La Florida;35000;0;;29/3/25;NO;
;02/11/25;02/11/25;09/11/25;cancelada;24536401-6;Luis Contreras;SI;Cabaña 13;Santa Cruz;840000;0;;31/10/25;NO;
;12/03/25;12/03/25;21/03/25;reservada;22075434-0;Ana Silva;SI;Cabaña 14;La Florida;1080000;0;;11/3/25;NO;
;13/08/25;13/08/25;17/08/25;ejecutada;16564154-K;Juan Perez;NO;Cabaña 20;Providencia;480000;480000;transferencia;13/8/25;NO;
;17/10/25;17/10/25;18/10/25;reservada;17505864-8;Maria Gonzalez;NO;Cabaña 8;Santa Cruz;120000;0;;16/10/25;NO;
;4/4/25;4/4/25 16:00;4/4/25 17:00;cancelada;15148285-6;Luis Contreras;NO;Cancha Padel Techada;La Florida;35000;0;;30/3/25;NO;
;13/04/25;13/04/25;21/04/25;cancelada;23498184-6;Juan Perez;SI;Cabaña 16;Santa Cruz;960000;0;;12/4/25;NO;
;13/11/25;13/11/25 10:00;13/11/25 11:00;reservada;9203394-5;Luis Contreras;NO;Salon Eventos 3;Santa Cruz;100000;0;;13/11/25;NO;
;6/7/25;6/7/25 15:00;6/7/25 16:00;ejecutada;8223654-6;Ana Silva;NO;Cancha Futbolito Techada;Santiago Centro;35000;35000;tarjeta;5/7/25;NO;
;05/10/25;05/10/25;09/10/25;reservada;24505775-K;Maria Gonzalez;NO;Cabaña 17;La Florida;480000;0;;1/10/25;NO;
;17/05/25;17/05/25;18/05/25;reservada;12892449-3;Pedro Rojas;SI;Cabaña 12;La Florida;120000;0;;17/5/25;SI;
;19/2/25;19/2/25 22:00;19/2/25 23:00;cancelada;15838325-K;Maria Gonzalez;NO;Cancha Tenis Techada;Providencia;35000;0;;17/2/25;NO;
;14/2/25;14/2/25 22:00;14/2/25 23:00;reservada;14843634-7;Juan Perez;SI;Cancha Padel Aire Libre;Santiago Centro;25000;0;;10/2/25;NO;
;2/6/25;2/6/25 13:00;2/6/25 14:00;reservada;19576306-2;Luis Contreras;NO;Cancha Padel Techada;Santiago Centro;35000;0;;28/5/25;SI;
;2/6/25;2/6/25 17:00;2/6/25 18:00;ejecutada;17553993-K;Ana Silva;SI;Salon Eventos 4;Providencia;100000;100000;tarjeta;2/6/25;NO;
;18/4/25;18/4/25 9:00;18/4/25 10:00;cancelada;24002475-6;Luis Contreras;SI;Cancha Futbolito Techada;Santa Cruz;35000;0;;15/4/25;NO;
;8/7/25;8/7/25 16:00;8/7/25 17:00;reservada;23457711-5;Luis Contreras;NO;Restaurant 2;Santa Cruz;30000;0;;4/7/25;NO;
;06/10/25;06/10/25;15/10/25;cancelada;18933016-2;Juan Perez;SI;Cabaña 10;La Florida;1080000;0;;2/10/25;NO;
;17/3/25;17/3/25 21:00;17/3/25 22:00;ejecutada;13006129-K;Pedro Rojas;SI;Salon Eventos 1;Providencia;100000;100000;tarjeta;16/3/25;NO;
;15/2/25;15/2/25;15/2/25 14:00;ejecutada;18467664-2;Pedro Rojas;SI;Restaurant 1;Santiago Centro;30000;30000;tarjeta;14/2/25;SI;rut/fecha
;4/5/25;4/5/25 9:00;4/5/25 10:00;cancelada;18646254-8;Pedro Rojas;SI;Salon Eventos 2;Santa Cruz;100000;0;;29/4/25;NO;
;20/8/25;20/8/25 13:00;20/8/25 14:00;reservada;23491307-7;Maria Gonzalez;SI;Cancha Basquetbol Aire Libre;Santiago Centro;25000;0;;16/8/25;NO;
;12/1/25;12/1/25;12/1/25 16:00;cancelada;6973970-9;Pedro Rojas;NO;Salon Eventos 2;La Florida;100000;0;;9/1/25;SI;fecha
;13/3/25;13/3/25 22:00;13/3/25 23:00;reservada;10478754-1;Pedro Rojas;SI;Cancha Futbolito Aire Libre;La Florida;25000;0;;9/3/25;NO;
;16/02/25;16/02/25;20/02/25;reservada;15594513-3;Pedro Rojas;NO;Cabaña 19;Santiago Centro;480000;0;;11/2/25;NO;
;19/10/25;19/10/25;21/10/25;cancelada;23939824-3;Juan Perez;NO;Cabaña 16;Santa Cruz;240000;0;;19/10/25;NO;
;15/06/25;15/06/25;20/06/25;ejecutada;19443419-7;Pedro Rojas;SI;Cabaña 6;Providencia;600000;600000;tarjeta;11/6/25;NO;
;10/03/25;10/03/25;14/03/25;ejecutada;16094679-2;Ana Silva;NO;Cabaña 1;Santa Cruz;480000;480000;efectivo;5/3/25;NO;
;15/12/25;15/12/25 22:00;15/12/25 23:00;reservada;21162735-2;Juan Perez;NO;Cancha Tenis Techada;La Florida;35000;0;;12/12/25;NO;
;11/4/25;11/4/25 19:00;11/4/25 20:00;cancelada;20328291-5;Juan Perez;NO;Restaurant 2;Providencia;30000;0;;7/4/25;NO;
;2/2/25;2/2/25 14:00;2/2/25 15:00;ejecutada;21863652-7;Luis Contreras;NO;Cancha Futbolito Aire Libre;Santiago Centro;25000;25000;transferencia;1/2/25;NO;
;09/08/25;09/08/25;12/08/25;cancelada;19652678-1;Juan Perez;NO;Cabaña 20;Santiago Centro;360000;0;;9/8/25;NO;
;20/11/25;20/11/25 10:00;20/11/25 11:00;reservada;6951223-2;Maria Gonzalez;SI;Cancha Tenis Techada;Santa Cruz;35000;0;;18/11/25;NO;
;12/11/25;12/11/25;14/11/25;reservada;19715915-4;Luis Contreras;SI;Cabaña 15;Santiago Centro;240000;0;;9/11/25;NO;
;4/5/25;4/5/25 13:00;4/5/25 14:00;ejecutada;19048151-4;Ana Silva;NO;Cancha Tenis Techada;Providencia;35000;35000;transferencia;2/5/25;NO;
;16/03/25;16/03/25;19/03/25;ejecutada;6126593-7;Juan Perez;NO;Cabaña 12;La Florida;360000;360000;transferencia;16/3/25;NO;
;12/09/25;12/09/25;13/09/25;reservada;22812135-5;Ana Silva;NO;Cabaña 19;La Florida;120000;0;;11/9/25;NO;
;7/9/25;7/9/25 20:00;7/9/25 21:00;ejecutada;9354610-5;Luis Contreras;SI;Cancha Basquetbol Aire Libre;La Florida;25000;25000;tarjeta;7/9/25;NO;
;13/05/25;13/05/25;19/05/25;cancelada;21793681-0;Juan Perez;SI;Cabaña 14;Santiago Centro;720000;0;;8/5/25;NO;
;10/02/25;10/02/25;19/02/25;reservada;24981138-6;Juan Perez;NO;Cabaña 4;Santiago Centro;1080000;0;;10/2/25;NO;
;19/6/25;19/6/25 21:00;19/6/25 22:00;ejecutada;18616868-2;Luis Contreras;NO;Restaurant 1;La Florida;30000;30000;tarjeta;16/6/25;SI;
;20/02/25;abc/12/25;27/02/25;cancelada;15878471-8;Maria Gonzalez;NO;Cabaña 3;Santa Cruz;840000;0;;16/2/25;SI;fecha
;11/02/25;11/02/25;19/02/25;ejecutada;10645717-4;Pedro Rojas;SI;Cabaña 14;Santa Cruz;960000;960000;transferencia;10/2/25;NO;
;2/9/25;2/9/25;2/9/25 12:00;ejecutada;22746919-6;Maria Gonzalez;NO;Cancha Futbolito Aire Libre;La Florida;25000;25000;tarjeta;30/8/25;SI;fecha
;13/10/25;13/10/25 14:00;13/10/25 15:00;reservada;23250659-8;Maria Gonzalez;SI;Cancha Basquetbol Techada;Santiago Centro;35000;0;;10/10/25;NO;
;09/01/25;09/01/25;15/01/25;reservada;16530236-2;Pedro Rojas;NO;Cabaña 13;Providencia;720000;0;;4/1/25;NO;
;1/6/25;1/6/25 9:00;1/6/25 10:00;reservada;10949220-5;Maria Gonzalez;NO;Salon Eventos 1;Santiago Centro;100000;0;;31/5/25;NO;
;18/8/25;18/8/25 10:00;18/8/25 11:00;reservada;15499152-2;Maria Gonzalez;SI;Cancha Basquetbol Aire Libre;Santiago Centro;25000;0;;17/8/25;NO;
;1/8/25;1/8/25 9:00;1/8/25 10:00;ejecutada;24427724-1;Maria Gonzalez;NO;Cancha Basquetbol Techada;La Florida;35000;35000;transferencia;27/7/25;NO;
;19/8/25;19/8/25 12:00;19/8/25 13:00;reservada;23369020-1;Ana Silva;NO;Salon Eventos 2;Providencia;100000;0;;17/8/25;NO;
;12/8/25;12/8/25 22:00;12/8/25 23:00;reservada;14756759-6;Juan Perez;SI;Cancha Basquetbol Techada;La Florida;35000;0;;7/8/25;NO;
;18/9/25;18/9/25 19:00;18/9/25 20:00;reservada;17911506-9;Pedro Rojas;NO;Salon Eventos 1;Santa Cruz;100000;0;;16/9/25;NO;
;9/1/25;9/1/25 10:00;9/1/25 11:00;ejecutada;24949712-6;Luis Contreras;SI;Salon Eventos 3;Santa Cruz;100000;100000;tarjeta;9/1/25;NO;
;18/2/25;18/2/25 10:00;18/2/25 11:00;reservada;21156024-K;Maria Gonzalez;NO;Cancha Tenis Aire Libre;Santiago Centro;25000;0;;17/2/25;SI;
;03/04/25;03/04/25;08/04/25;reservada;9354610-5;Luis Contreras;SI;Cabaña 3;Santiago Centro;600000;0;;3/4/25;NO;
;14/11/25;14/11/25 16:00;14/11/25 17:00;ejecutada;7130867-7;Luis Contreras;NO;Cancha Basquetbol Aire Libre;Santiago Centro;25000;25000;tarjeta;9/11/25;NO;
;01/02/25;01/02/25;05/02/25;cancelada;15148285-6;Luis Contreras;SI;Cabaña 15;La Florida;480000;0;;29/1/25;NO;
;03/10/25;03/10/25;06/10/25;reservada;21156024-6;Maria Gonzalez;NO;Cabaña 17;Santa Cruz;360000;0;;2/10/25;SI;rut
;3/2/25;3/2/25 8:00;3/2/25 9:00;reservada;22852757-2;Ana Silva;SI;Cancha Tenis Aire Libre;Santa Cruz;25000;0;;30/1/25;NO;
;15/5/25;15/5/25 18:00;15/5/25 19:00;cancelada;5475559-7;Luis Contreras;SI;Salon Eventos 4;La Florida;100000;0;;12/5/25;NO;
;5/11/25;5/11/25 17:00;5/11/25 18:00;ejecutada;10119752-2;Juan Perez;SI;Cancha Padel Aire Libre;Santiago Centro;25000;25000;efectivo;31/10/25;NO;
;10/12/25;10/12/25;12/12/25;cancelada;13397853-4;Juan Perez;NO;Cabaña 9;Santa Cruz;240000;0;;6/12/25;NO;
;3/1/25;3/1/25 17:00;3/1/25 18:00;reservada;11414686-2;Maria Gonzalez;NO;Piscina 2;Providencia;20000;0;;30/12/24;NO;
;01/02/25;01/02/25;02/02/25;reservada;23250659-8;Maria Gonzalez;NO;Cabaña 20;La Florida;120000;0;;27/1/25;NO;
;01/06/25;01/06/25;10/06/25;reservada;16451339-4;Pedro Rojas;NO;Cabaña 14;Santiago Centro;1080000;0;;30/5/25;SI;
;04/07/25;04/07/25;09/07/25;cancelada;8309406-0;Luis Contreras;NO;Cabaña 8;Santiago Centro;600000;0;;29/6/25;NO;
;09/10/25;09/10/25;10/10/25;reservada;5149595-0;Maria Gonzalez;SI;Cabaña 16;Santa Cruz;120000;0;;7/10/25;NO;
;20/05/25;20/05/25;30/05/25;reservada;13534305-6;Juan Perez;NO;Cabaña 11;La Florida;1200000;0;;19/5/25;SI;rut
;2/10/25;2/10/25 19:00;2/10/25 20:00;ejecutada;22110547-8;Maria Gonzalez;SI;Salon Eventos 2;Santiago Centro;100000;100000;efectivo;2/10/25;NO;
;20/06/25;20/06/25;28/06/25;reservada;11862631-1;Ana Silva;NO;Cabaña 20;Santa Cruz;960000;0;;15/6/25;NO;
;2/2/25;2/2/25 21:00;2/2/25 22:00;cancelada;13233936-8;Maria Gonzalez;NO;Salon Eventos 2;Santa Cruz;100000;0;;1/2/25;NO;
;6/4/25;6/4/25 15:00;6/4/25 16:00;ejecutada;10679568-1;Luis Contreras;NO;Salon Eventos 2;Providencia;100000;100000;tarjeta;6/4/25;NO;
;02/03/25;02/03/25;06/03/25;ejecutada;9226402-5;Ana Silva;NO;Cabaña 20;Santa Cruz;480000;480000;transferencia;28/2/25;NO;
;13/7/25;13/7/25 19:00;13/7/25 20:00;cancelada;15047491-4;Ana Silva;SI;Piscina 2;Providencia;20000;0;;13/7/25;NO;
;09/02/25;09/02/25;15/02/25;ejecutada;14756759-6;Juan Perez;NO;Cabaña 9;Providencia;720000;720000;transferencia;9/2/25;NO;
;03/09/25;03/09/25;13/09/25;ejecutada;12756727-1;Luis Contreras;SI;Cabaña 14;Providencia;1200000;1200000;transferencia;2/9/25;NO;
;10/12/25;10/12/25 9:00;10/12/25 10:00;reservada;20812193-6;Pedro Rojas;SI;Cancha Tenis Aire Libre;La Florida;25000;0;;8/12/25;NO;
;16/3/25;16/3/25 18:00;16/3/25 19:00;cancelada;17506787-6;Pedro Rojas;SI;Piscina 1;Providencia;20000;0;;16/3/25;NO;
;04/06/25;04/06/25;07/06/25;ejecutada;6085414-9;Maria Gonzalez;SI;Cabaña 15;Santa Cruz;360000;360000;tarjeta;3/6/25;NO;
;18/10/25;18/10/25;27/10/25;reservada;19576306-2;Luis Contreras;SI;Cabaña 18;Providencia;1080000;0;;13/10/25;NO;
;02/07/25;02/07/25;07/07/25;reservada;15338995-0;Ana Silva;SI;Cabaña 10;Providencia;600000;0;;30/6/25;NO;
;1/4/25;1/4/25;1/4/25 20:00;reservada;19430435-8;Maria Gonzalez;NO;Salon Eventos 1;La Florida;100000;0;;30/3/25;SI;fecha
;13/8/25;13/8/25 19:00;13/8/25 20:00;ejecutada;6204457-8;Luis Contreras;SI;Cancha Basquetbol Aire Libre;Providencia;25000;25000;tarjeta;9/8/25;NO;
;5/4/25;5/4/25 22:00;5/4/25 23:00;reservada;15121060-0;Ana Silva;NO;Cancha Futbolito Aire Libre;Santiago Centro;25000;0;;3/4/25;NO;
;12/04/25;12/04/25;13/04/25;ejecutada;9843733-9;Maria Gonzalez;SI;Cabaña 6;Santa Cruz;120000;120000;tarjeta;8/4/25;NO;
;20/03/25;20/03/25;25/03/25;reservada;22703981-7;Juan Perez;NO;Cabaña 10;Providencia;600000;0;;16/3/25;NO;
;18/12/25;18/12/25;21/12/25;reservada;16257735-2;Maria Gonzalez;SI;Cabaña 5;Santa Cruz;360000;0;;14/12/25;SI;
;16/06/25;16/06/25;20/06/25;ejecutada;10776000-8;Luis Contreras;SI;Cabaña 12;Santiago Centro;480000;480000;transferencia;15/6/25;NO;
;11/6/25;11/6/25 12:00;11/6/25 13:00;reservada;15594513-3;Pedro Rojas;SI;Salon Eventos 1;Santiago Centro;100000;0;;7/6/25;NO;
;08/11/25;08/11/25;09/11/25;reservada;5854603-8;Luis Contreras;SI;Cabaña 8;Providencia;120000;0;;8/11/25;NO;
;16/8/25;16/8/25 22:00;16/8/25 23:00;cancelada;23457711-5;Luis Contreras;SI;Cancha Futbolito Techada;La Florida;35000;0;;11/8/25;NO;
;19/10/25;19/10/25;10/10/;cancelada;7613535-5;Ana Silva;SI;Cabaña 19 X;La Florida;960000;0;;16/10/25;SI;referencia/fecha
;10/05/25;10/05/25;12/05/25;cancelada;20859114-2;Luis Contreras;NO;Cabaña 11;Santa Cruz;240000;0;;8/5/25;NO;
;02/10/25;02/10/25;06/10/25;ejecutada;21162735-2;Juan Perez;NO;Cabaña 16;Santiago Centro;480000;480000;efectivo;29/9/25;NO;
;17/09/25;17/09/25;20/09/25;ejecutada;18086493-8;Maria Gonzalez;SI;Cabaña 15;Providencia;360000;360000;efectivo;16/9/25;NO;
;20/08/25;20/08/25;25/08/25;reservada;5373421-9;Luis Contreras;SI;Cabaña 1;La Florida;600000;0;;18/8/25;NO;
;8/4/25;8/4/25 19:00;8/4/25 20:00;reservada;22367120-9;Pedro;NO;Cancha Basquetbol Techada;Providencia;35000;0;;3/4/25;SI;nombre
;12/10/25;12/10/25 17:00;12/10/25 18:00;cancelada;18154120-2;Maria Gonzalez;NO;Restaurant 2;La Florida;30000;0;;10/10/25;NO;
;14/08/25;14/08/25;19/08/25;ejecutada;13775714-1;Luis Contreras;SI;Cabaña 13;La Florida;600000;600000;efectivo;10/8/25;NO;
;3/6/25;3/6/25 11:00;3/6/25 12:00;ejecutada;14584200-K;Pedro Rojas;SI;Restaurant 1;La Florida;30000;30000;efectivo;29/5/25;NO;
;15/1/25;15/1/25 19:00;15/1/25 20:00;cancelada;21454860-7;Ana Silva;SI;Salon Eventos 1;Santiago Centro;100000;0;;10/1/25;NO;
;15/07/25;15/07/25;18/07/25;ejecutada;20086756-4;Maria Gonzalez;SI;Cabaña 3;La Florida;360000;360000;efectivo;11/7/25;NO;
;20/06/25;20/06/25;30/06/25;cancelada;24138079-3;Juan Perez;NO;Cabaña 3;Santiago Centro;1200000;0;;17/6/25;NO;
;2/4/25;2/4/25 14:00;2/4/25 15:00;reservada;6807678-1;Pedro Rojas;SI;Restaurant 1;La Florida;30000;0;;2/4/25;NO;
;14/7/25;14/7/25;14/7/25 21:00;cancelada;17820790-3;Juan Perez;NO;Cancha Basquetbol Techada;Santiago Centro;35000;0;;12/7/25;SI;fecha
;17/1/25;17/1/25 21:00;17/1/25 22:00;reservada;10120385-9;Maria Gonzalez;SI;Salon Eventos 4;Santiago Centro;100000;0;;12/1/25;NO;
;9/9/25;9/9/25 13:00;9/9/25 14:00;cancelada;18933016-2;Juan Perez;SI;Piscina 1;La Florida;20000;0;;8/9/25;NO;
;10/5/25;10/5/25 10:00;10/5/25 11:00;ejecutada;9843733-9;Maria Gonzalez;NO;Cancha Futbolito Aire Libre;Santa Cruz;25000;25000;efectivo;6/5/25;NO;
;17/09/25;17/09/25;26/09/25;reservada;8954537-4;Luis Contreras;SI;Cabaña 3;La Florida;1080000;0;;12/9/25;NO;
;07/08/25;07/08/25;11/08/25;ejecutada;11885348-2;Pedro Rojas;SI;Cabaña 12;Providencia;480000;480000;transferencia;7/8/25;NO;
;16/11/25;16/11/25 13:00;16/11/25 14:00;cancelada;12027524-0;Juan Perez;SI;Cancha Futbolito Aire Libre;Santiago Centro;25000;0;;16/11/25;NO;
;13/06/25;13/06/25;20/06/25;ejecutada;21863652-7;Luis Contreras;NO;Cabaña 7;Providencia;840000;840000;transferencia;10/6/25;NO;
;04/01/25;04/01/25;13/01/25;reservada;9564786-3;Ana Silva;NO;Cabaña 16;Providencia;1080000;0;;2/1/25;NO;
;10/10/;13/03/25;19/03/25;cancelada;17623443-1;Maria Gonzalez;NO;Cabaña 14 X;La Florida;720000;0;;9/3/25;SI;referencia/fecha
;12/10/25;12/10/25 19:00;12/10/25 20:00;reservada;16460920-0;Maria Gonzalez;NO;Salon Eventos 2;Santa Cruz;100000;0;;11/10/25;NO;
;14/11/25;14/11/25;20/11/25;cancelada;21452115-6;Pedro Rojas;SI;Cabaña 3;La Florida;720000;0;;12/11/25;NO;
;15/09/25;15/09/25;16/09/25;ejecutada;5395622-K;Pedro Rojas;NO;Cabaña 7;Santiago Centro;120000;120000;efectivo;10/9/25;NO;
;19/04/25;19/04/25;23/04/25;ejecutada;5427877-2;Juan Perez;NO;Cabaña 7;Providencia;480000;480000;transferencia;14/4/25;NO;
;16/06/25;16/06/25;25/06/25;cancelada;11521745-3;Ana Silva;NO;Cabaña 3;Providencia;1080000;0;;13/6/25;NO;
;08/08/25;08/08/25;13/08/25;reservada;19052661-5;Maria Gonzalez;SI;Cabaña 7;La Florida;600000;0;;4/8/25;NO;
;12/11/25;12/11/25;17/11/25;ejecutada;8442882-5;Ana Silva;NO;Cabaña 7;Santa Cruz;600000;600000;efectivo;12/11/25;NO;
;10/1/25;10/1/25 12:00;10/1/25 13:00;cancelada;15795747-3;Ana Silva;NO;Cancha Padel Aire Libre;Santa Cruz;25000;0;;7/1/25;NO;
;10/02/25;10/02/25;17/02/25;cancelada;5854603-8;Luis Contreras;SI;Cabaña 15;Santiago Centro;840000;0;;5/2/25;NO;
;11/9/25;11/9/25 15:00;11/9/25 16:00;reservada;9486514-K;Luis Contreras;SI;Cancha Padel Aire Libre;Santa Cruz;25000;0;;8/9/25;NO;
;04/12/25;04/12/25;08/12/25;cancelada;16214968-7;Luis Contreras;NO;Cabaña 13;Santiago Centro;480000;0;;1/12/25;NO;
;1/7/25;1/7/25 20:00;1/7/25 21:00;ejecutada;21162735-2;Juan;NO;Cancha Padel Aire Libre;La Florida;25000;25000;efectivo;30/6/25;SI;nombre
;04/10/25;04/10/25;13/10/25;cancelada;23835968-6;Juan Perez;SI;Cabaña 5;Providencia;1080000;0;;2/10/25;NO;
;07/02/25;07/02/25;13/02/25;ejecutada;9354610-5;Luis Contreras;SI;Cabaña 8;La Florida;720000;720000;efectivo;6/2/25;NO;
;16/8/25;16/8/25;16/8/25 20:00;reservada;14586066-0;Ana Silva;NO;Restaurant 2 X;La Florida;30000;0;;14/8/25;SI;referencia/fecha
;13/2/25;13/2/25 14:00;13/2/25 15:00;cancelada;17263289-0;Juan Perez;SI;Cancha Basquetbol Aire Libre;Santiago Centro;25000;0;;13/2/25;NO;
;08/11/25;08/11/25;14/11/25;reservada;7777224-3;Maria Gonzalez;SI;Cabaña 9;Santa Cruz;720000;0;;6/11/25;NO;
;19/07/25;19/07/25;25/07/25;cancelada;19599688-1;Juan Perez;NO;Cabaña 9;Santiago Centro;720000;0;;16/7/25;NO;
;02/09/25;02/09/25;09/09/25;cancelada;23046980-6;Luis Contreras;SI;Cabaña 6;Santiago Centro;840000;0;;1/9/25;NO;
;4/5/25;4/5/25 10:00;4/5/25 11:00;ejecutada;18776636-2;Pedro Rojas;NO;Cancha Padel Aire Libre;La Florida;25000;25000;efectivo;1/5/25;NO;
;03/10/25;03/10/25;04/10/25;cancelada;19443419-7;Pedro Rojas;SI;Cabaña 6;Santiago Centro;120000;0;;3/10/25;NO;
;13/10/25;13/10/25;20/10/25;reservada;15088563-9;Pedro Rojas;SI;Cabaña 5;Santa Cruz;840000;0;;11/10/25;NO;
;5/6/25;5/6/25 20:00;5/6/25 21:00;ejecutada;24090729-1;Pedro Rojas;SI;Salon Eventos 1;Santiago Centro;100000;100000;efectivo;1/6/25;NO;
;6/3/25;6/3/25 11:00;6/3/25 12:00;reservada;16304937-6;Juan Perez;SI;Cancha Futbolito Aire Libre;La Florida;25000;0;;5/3/25;NO;
;04/11/25;04/11/25;13/11/25;ejecutada;24090729-1;Pedro Rojas;NO;Cabaña 3;Santa Cruz;1080000;1080000;transferencia;30/10/25;NO;
;18/5/25;18/5/25 12:00;18/5/25 13:00;reservada;6761777-0;Luis Contreras;SI;Cancha Basquetbol Techada;Santa Cruz;35000;0;;15/5/25;NO;
;12/10/25;12/10/25;22/10/25;reservada;14861266-8;Ana Silva;NO;Cabaña 9;Providencia;1200000;0;;11/10/25;NO;
;01/03/25;01/03/25;04/03/25;cancelada;9430073-8;Ana Silva;SI;Cabaña 15;Santa Cruz;360000;0;;27/2/25;NO;
;20/6/25;20/6/25 9:00;20/6/25 10:00;ejecutada;16479158-0;Pedro Rojas;SI;Restaurant 1;La Florida;30000;30000;tarjeta;16/6/25;NO;
;13/2/25;13/2/25 9:00;13/2/25 10:00;cancelada;15677425-1;Luis Contreras;SI;Cancha Basquetbol Techada;Santiago Centro;35000;0;;11/2/25;NO;
;6/5/25;6/5/25 12:00;6/5/25 13:00;reservada;23498184-6;Juan Perez;SI;Cancha Tenis Aire Libre;Providencia;25000;0;;2/5/25;NO;
;2/7/25;2/7/25 18:00;2/7/25 19:00;cancelada;19048151-4;Ana Silva;NO;Cancha Padel Techada;La Florida;35000;0;;27/6/25;NO;
;07/12/25;07/12/25;16/12/25;ejecutada;5137322-7;Juan Perez;NO;Cabaña 20;Providencia;1080000;1080000;efectivo;6/12/25;NO;
;16/09/25;16/09/25;22/09/25;cancelada;9706683-3;Ana Silva;NO;Cabaña 18;Santa Cruz;720000;0;;11/9/25;NO;
;10/12/25;10/12/25;11/12/25;cancelada;5757659-6;Pedro Rojas;SI;Cabaña 6;La Florida;120000;0;;9/12/25;NO;
;07/10/25;07/10/25;09/10/25;cancelada;17263289-0;Juan Perez;SI;Cabaña 8;Providencia;240000;0;;7/10/25;SI;
;10/10/25;10/10/25 9:00;10/10/25 10:00;cancelada;6807678-1;Pedro Rojas;NO;Cancha Tenis Aire Libre;La Florida;25000;0;;10/10/25;NO;
;14/12/25;14/12/25 12:00;14/12/25 13:00;reservada;22367120-9;Pedro Rojas;NO;Salon Eventos 3;La Florida;100000;0;;9/12/25;NO;
;06/01/25;06/01/25;13/01/25;cancelada;16054257-8;Luis Contreras;NO;Cabaña 16;Santiago Centro;840000;0;;5/1/25;NO;
;18/06/25;18/06/25;20/06/25;ejecutada;6858349-7;Luis Contreras;SI;Cabaña 20;Santiago Centro;240000;240000;efectivo;14/6/25;NO;
;8/7/25;8/7/25 9:00;8/7/25 10:00;cancelada;17647891-8;Maria Gonzalez;NO;Salon Eventos 3;Santa Cruz;100000;0;;5/7/25;NO;
;20/2/25;20/2/25 15:00;20/2/25 16:00;reservada;20194778-2;Ana Silva;NO;Restaurant 1;Santiago Centro;30000;0;;20/2/25;NO;
;17/3/25;17/3/25 22:00;17/3/25 23:00;reservada;5135966-6;Pedro Rojas;NO;Cancha Padel Techada;La Florida;35000;0;;16/3/25;NO;
;11/05/25;11/05/25;17/05/25;reservada;8356612-4;Pedro Rojas;NO;Cabaña 18;Providencia;720000;0;;6/5/25;NO;
;1/10/25;1/10/25 19:00;1/10/25 20:00;ejecutada;22852757-2;Ana Silva;NO;Piscina 2;Santiago Centro;20000;20000;transferencia;28/9/25;NO;
;17/05/25;17/05/25;23/05/25;reservada;18086493-8;Maria Gonzalez;NO;Cabaña 3;Santiago Centro;720000;0;;15/5/25;NO;
;12/06/25;12/06/25;17/06/25;reservada;6884770-2;Luis Contreras;SI;Cabaña 5;Santiago Centro;600000;0;;9/6/25;NO;
;1/4/25;1/4/25 12:00;1/4/25 13:00;reservada;19195488-2;Pedro Rojas;NO;Piscina 1;Santiago Centro;20000;0;;31/3/25;NO;
;07/12/25;07/12/25;11/12/25;reservada;16887747-1;Luis Contreras;NO;Cabaña 13;La Florida;480000;0;;6/12/25;NO;
;04/11/25;04/11/25;09/11/25;ejecutada;7781298-9;Pedro Rojas;SI;Cabaña 13;Santa Cruz;600000;600000;efectivo;3/11/25;NO;
;15/10/25;15/10/25;22/10/25;reservada;18602114-2;Juan Perez;NO;Cabaña 18;Providencia;840000;0;;15/10/25;NO;
;15/05/25;15/05/25;16/05/25;cancelada;18910856-7;Maria Gonzalez;NO;Cabaña 2;La Florida;120000;0;;14/5/25;SI;
